slot_id,name_simplified,name_traditional,biography,source_affinity
0,阿会喃,阿會喃,蜀漢相關人物，史料記載較少。,62
1,韦昭,韋昭,東吳相關人物，史料記載較少。,131
2,伊籍,伊籍,三國時期蜀漢官員。,77
3,尹赏,尹賞,蜀漢相關人物，史料記載較少。,72
4,尹大目,尹大目,曹家的家奴，曹魏建國後，在天子左右侍奉。,38
5,尹默,尹默,梓潼涪城人。,80
6,于禁,于禁,曹魏名將，襄樊之戰敗於關羽。,22
7,于诠,于詮,或作于銓，中國三國時期吳國將領。,126
8,卫瓘,衛瓘,曹魏或西晉相關人物，史料記載較少。,31
9,袁遗,袁遺,漢末北方勢力人物，史料記載較少。,95
10,袁胤,袁胤,漢末群雄相關人物，史料記載較少。,140
11,阎宇,閻宇,益州或南中相關人物，史料記載較少。,50
12,袁熙,袁熙,漢末北方勢力人物，史料記載較少。,101
13,阎柔,閻柔,曹魏或西晉相關人物，史料記載較少。,40
14,袁术,袁術,漢末軍閥，曾在壽春稱帝。,140
15,袁尚,袁尚,漢末北方勢力人物，史料記載較少。,101
16,袁绍,袁紹,漢末河北軍閥，官渡之戰敗於曹操。,101
17,阎象,閻象,漢末群雄相關人物，史料記載較少。,136
18,袁谭,袁譚,漢末北方勢力人物，史料記載較少。,86
19,阎圃,閻圃,曹魏或西晉相關人物，史料記載較少。,18
20,袁耀,袁燿,漢末群雄相關人物，史料記載較少。,138
21,王威,王威,曹魏或西晉相關人物，史料記載較少。,45
22,王允,王允,并州太原祁（今山西祁縣）人。,92
23,王含,王含,琅琊臨沂（今山東臨沂）人。,80
24,王基,王基,曹魏或西晉相關人物，史料記載較少。,30
25,王颀,王頎,曹魏或西晉相關人物，史料記載較少。,21
26,王匡,王匡,漢末北方勢力人物，史料記載較少。,97
27,王业,王業,曹魏或西晉相關人物，史料記載較少。,33
28,王经,王經,曹魏或西晉相關人物，史料記載較少。,20
29,王伉,王伉,三國時期蜀國永昌太守。,71
30,王浑,王渾,曹魏或西晉相關人物，史料記載較少。,33
31,王粲,王粲,山陽郡高平縣（今山東省濟寧市微山縣）人。,30
32,王修,王修,又作為王脩。,86
33,王戎,王戎,曹魏或西晉相關人物，史料記載較少。,40
34,王肃,王肅,曹魏或西晉相關人物，史料記載較少。,34
35,王浚,王濬,西晉名將，率水軍滅吳。,32
36,王祥,王祥,曹魏或西晉相關人物，史料記載較少。,32
37,王沉,王沈,曹魏或西晉相關人物，史料記載較少。,33
38,王双,王雙,曹魏或西晉相關人物，史料記載較少。,26
39,王忠,王忠,曹魏或西晉相關人物，史料記載較少。,35
40,王昶,王昶,曹魏或西晉相關人物，史料記載較少。,33
41,王韬,王韜,曹魏或西晉相關人物，史料記載較少。,32
42,王惇,王惇,三國時東吳官員。,123
43,王买,王買,曹魏或西晉相關人物，史料記載較少。,35
44,王平,王平,蜀漢相關人物，史料記載較少。,69
45,王甫,王甫,蜀漢相關人物，史料記載較少。,76
46,王门,王門,蜀漢相關人物，史料記載較少。,63
47,王凌,王凌,曹魏或西晉相關人物，史料記載較少。,34
48,王累,王累,東漢末益州牧劉璋部下，任從事。,57
49,王朗,王朗,曹魏或西晉相關人物，史料記載較少。,34
50,何晏,何晏,南陽宛（今河南南陽）人，東漢末年大將軍何進孫，曹操的婿養子，三國時期玄學家。,36
51,蒯越,蒯越,曹魏或西晉相關人物，史料記載較少。,40
52,蒯良,蒯良,曹魏或西晉相關人物，史料記載較少。,40
53,贾华,賈華,東吳相關人物，史料記載較少。,123
54,华核,華覈,東吳相關人物，史料記載較少。,131
55,贾逵,賈逵,曹魏或西晉相關人物，史料記載較少。,29
56,何仪,何儀,東漢時期人物，曾參與黃巾起義。,7
57,华歆,華歆,漢末相關人物，史料記載較少。,10
58,贾诩,賈詡,漢末著名謀士，後仕曹魏。,20
59,郭奕,郭奕,曹魏或西晉相關人物，史料記載較少。,27
60,郭嘉,郭嘉,曹操早期重要謀士，英年早逝。,25
61,鄂焕,鄂煥,蜀漢相關人物，史料記載較少。,63
62,郭汜,郭汜,董卓部將，與李傕攻入長安。,1
63,乐就,樂就,東漢末期袁術部將。,138
64,霍峻,霍峻,蜀漢相關人物，史料記載較少。,67
65,郝昭,郝昭,曹魏或西晉相關人物，史料記載較少。,22
66,乐进,樂進,曹魏名將，以驍勇果決著稱。,23
67,乐綝,樂綝,曹魏或西晉相關人物，史料記載較少。,23
68,郭图,郭圖,東吳相關人物，史料記載較少。,111
69,郭马,郭馬,東吳相關人物，史料記載較少。,132
70,郭攸之,郭攸之,蜀漢相關人物，史料記載較少。,80
71,霍弋,霍弋,蜀漢相關人物，史料記載較少。,67
72,郭淮,郭淮,曹魏或西晉相關人物，史料記載較少。,20
73,夏侯威,夏侯威,三國時期曹魏將領，東漢曹操屬下名將夏侯淵之第四子。,26
74,夏侯渊,夏侯淵,曹操宗親名將，善於急行奔襲。,25
75,夏侯恩,夏侯恩,夏侯恩，是《三國演義》中的虛構人物，曹操愛將。,25
76,夏侯和,夏侯和,三國時魏、晉官員，為夏侯淵第七子。,26
77,夏侯咸,夏侯咸,是三國時期曹魏將領。,26
78,夏侯惠,夏侯惠,征西將軍、博昌愍侯夏侯淵第六子。,26
79,夏侯玄,夏侯玄,一作太初，沛國譙郡（今安徽亳州）人。,20
80,夏侯尚,夏侯尚,三國時代曹魏武將，曹丕時期的重臣，官拜征南大將軍領荊州牧，長年負責戍守荊北軍區防線。,24
81,夏侯德,夏侯德,曹魏或西晉相關人物，史料記載較少。,24
82,夏侯惇,夏侯惇,曹操宗親名將，長期鎮守後方。,25
83,夏侯霸,夏侯霸,沛國譙縣（今安徽省亳州市）人；三國時期曹魏和蜀漢後期重要將領；曹魏將領夏侯淵次子。,23
84,夏侯楙,夏侯楙,三國時代魏國的武將與官員，是曹操麾下重要將領夏侯惇之子，娶曹操之女清河公主為妻。,19
85,贾充,賈充,曹魏或西晉相關人物，史料記載較少。,31
86,何植,何植,丹楊郡（郡治在今安徽宣城）人。,114
87,何进,何進,漢末北方勢力人物，史料記載較少。,90
88,贺齐,賀齊,東吳相關人物，史料記載較少。,121
89,何曾,何曾,陳國陽夏縣人。,33
90,何桢,何楨,一作何禎，字元幹，廬江郡灊縣（今屬安徽霍山）人。,31
91,贾范,賈範,漢末群雄相關人物，史料記載較少。,31
92,华雄,華雄,董卓部將，汜水關之戰為孫堅軍所斬。,136
93,关彝,關彝,三國時蜀國漢壽亭侯，關興庶子，關羽之孫。,75
94,韩胤,韓胤,袁術部下，奉命與呂布結親未果。,75
95,关羽,關羽,劉備麾下名將，鎮守荊州，後世尊為關帝。,75
96,管亥,管亥,黃巾軍渠帥，曾圍攻北海孔融。,75
97,毌丘俭,毌丘儉,曹魏將領，起兵反司馬師失敗。,7
98,毌丘秀,毌丘秀,曹魏或西晉相關人物，史料記載較少。,39
99,毌丘甸,毌丘甸,曹魏或西晉相關人物，史料記載較少。,39
100,韩玄,韓玄,漢末相關人物，史料記載較少。,39
101,韩浩,韓浩,曹操部將，曾參與屯田事務。,9
102,关兴,關興,蜀漢相關人物，史料記載較少。,75
103,关索,關索,蜀漢相關人物，史料記載較少。,75
104,韩遂,韓遂,漢末涼州軍閥，長期割據西北。,48
105,韩嵩,韓嵩,曹魏或西晉相關人物，史料記載較少。,40
106,关靖,關靖,蜀漢相關人物，史料記載較少。,65
107,韩暹,韓暹,漢末相關人物，史料記載較少。,8
108,阚泽,闞澤,東吳相關人物，史料記載較少。,127
109,韩忠,韓忠,漢末相關人物，史料記載較少。,7
110,关统,關統,蜀漢相關人物，史料記載較少。,75
111,韩当,韓當,東吳相關人物，史料記載較少。,126
112,韩德,韓德,曹魏或西晉相關人物，史料記載較少。,19
113,甘宁,甘寧,東吳名將，以勇猛善戰著稱。,129
114,桓范,桓範,沛國（治今安徽省濉溪縣張孤集）人。,21
115,韩馥,韓馥,漢末北方勢力人物，史料記載較少。,93
116,关平,關平,蜀漢相關人物，史料記載較少。,75
117,简雍,簡雍,本姓名耿雍，字憲和，涿郡（今河北涿州）人，三國時期蜀漢官吏，與孫乾、麋竺同為蜀漢老臣。,73
